Borough Name,Offence Group,Count,Population,TotalBoroughCrime,Percentage,Rate,Type
Wandsworth,Arson and Criminal Damage,1650,327506,24976,6.606342088,5.038075638,Peer
Wandsworth,Public Order Offences,1871,327506,24976,7.491191544,5.712872436,Peer
Wandsworth,Sexual Offences,802,327506,24976,3.211082639,2.448810098,Peer
Wandsworth,Vehicle Offences,3145,327506,24976,12.5920884,9.602877505,Peer
Southwark,Violence Against The Person,8268,307637,31071,26.61002221,26.87583093,Peer
Westminster,Burglary,2268,204236,48772,4.650209136,11.10480033,Outlier
Waltham Forest,Robbery,727,278426,22101,3.289443917,2.611106721,Peer
Merton,Sexual Offences,396,215186,12864,3.078358209,1.840268419,Peer
Waltham Forest,Vehicle Offences,3372,278426,22101,15.25722818,12.11093792,Peer
Tower Hamlets,Burglary,2404,310306,31557,7.61796115,7.747191482,Peer
Westminster,Drug Offences,2902,204236,48772,5.950135324,14.20905227,Outlier
Waltham Forest,Violence Against The Person,6672,278426,22101,30.18867925,23.96327929,Peer
Westminster,Possession Of Weapons,324,204236,48772,0.664315591,1.586400047,Outlier
Westminster,Public Order Offences,3185,204236,48772,6.530386287,15.59470417,Outlier
Westminster,Vehicle Offences,3393,204236,48772,6.956860494,16.61313383,Outlier
Westminster,Miscellaneous Crimes Against Society,343,204236,48772,0.703272369,1.679429679,Outlier
Wandsworth,Drug Offences,1081,327506,24976,4.328155029,3.300702888,Peer
Westminster,Robbery,2127,204236,48772,4.361108833,10.41442253,Outlier
Richmond upon Thames,Drug Offences,412,195278,10980,3.752276867,2.109812677,Peer
